,Total Revenue
EAF,1224361000.0
EAR,69154000.0
EAT,3078500000.0
EB,106006000.0
EBAY,10271000000.0
EBC,530045000.0
EBF,357973000.0
EBIX,625609000.0
EBS,1555400000.0
EBSB,183543000.0
EBTC,134882000.0
ECHO,2511515000.0
ECL,11790200000.0
ECOL,933854000.0
ECOM,145072000.0
ECPG,1501400000.0
ED,12246000000.0
EDIT,90732000.0
EEFT,2482700000.0
EEX,127400000.0
EFC,43326000.0
EFSC,259106000.0
EFX,4127500000.0
EGAN,72729000.0
EGBN,320307000.0
EGHT,446237000.0
EGLE,275133547.0
EGP,363023000.0
EGRX,187802000.0
EHC,4644400000.0
EHTH,582774000.0
EIG,711400000.0
EIGR,0.0
EIX,13578000000.0
EL,14294000000.0
ELAN,3273300000.0
ELF,282851000.0
ELOX,0.0
ELS,1096847000.0
ELY,1589460000.0
EME,8797061000.0
EML,240403114.0
EMN,8473000000.0
EMR,16785000000.0
ENDP,2903074000.0
ENPH,774425000.0
ENR,2744800000.0
ENS,3087868000.0
ENSG,2402596000.0
ENTA,122473000.0
ENTG,1859313000.0
ENV,998230000.0
ENVA,597502000.0
ENZ,76021000.0
EOG,9934194000.0
EOLS,56540000.0
EPAC,493292000.0
EPAM,2659478000.0
EPAY,442221000.0
EPC,1949700000.0
EPM,29599296.0
EPR,408260000.0
EPRT,164009000.0
EPZM,15762000.0
EQBK,132268000.0
EQC,66278000.0
EQH,9592000000.0
EQIX,5963108000.0
EQR,2571705000.0
EQT,2612253000.0
ERIE,2536489000.0
ERII,118986000.0
ES,8904430000.0
ESCA,273649000.0
ESE,732915000.0
ESGC,434261000.0
ESGR,2660506000.0
ESI,1853700000.0
ESNT,955154000.0
ESPR,227547000.0
ESQ,45837000.0
ESRT,599812000.0
ESS,1556922000.0
ESSA,58187000.0
ESTC,427620000.0
ESTE,144523000.0
ESXB,52994000.0
ETH,589837000.0
ETN,17858000000.0
ETNB,0.0
ETR,10113636000.0
ETRN,1510825000.0
ETSY,1725625000.0
EVBG,271141000.0
EVBN,70811000.0
EVC,344026000.0
EVER,346935000.0
EVFM,446000.0
EVH,1022433000.0
EVI,235802000.0
EVLO,0.0
EVOP,439101000.0
EVR,2294711000.0
EVRG,4913400000.0
EVRI,383674000.0
EVTC,510588000.0
EW,4386300000.0
EWBC,1332005000.0
EXAS,1491391000.0
EXC,33039000000.0
EXEL,987538000.0
EXLS,958434000.0
EXP,1450814000.0
EXPD,10116481000.0
EXPE,5199000000.0
EXPI,1798285000.0
EXPO,378412000.0
EXPR,1208374000.0
EXR,1378573000.0
EXTR,948019000.0
EYE,1711760000.0
EZPW,822811000.0
F,127144000000.0
FAF,7086667000.0
FANG,2671000000.0
FARM,501320000.0
FARO,303768000.0
FAST,5647300000.0
FATE,31434000.0
FB,85965000000.0
FBC,1861000000.0
FBHS,6090300000.0
FBIO,45599000.0
FBIZ,84808000.0
FBK,459546000.0
FBMS,161574000.0
FBNC,264483000.0
FBP,535770000.0
FC,198456000.0
FCAP,34884000.0
FCBC,125737000.0
FCBP,87443000.0
FCCY,66448000.0
FCEL,70871000.0
FCF,305349000.0
FCFS,1631284000.0
FCN,2461275000.0
FCNCA,1810710000.0
FCPT,170944000.0
FCX,14198000000.0
FDBC,53745000.0
FDMT,13612000.0
FDP,4202300000.0
FDS,1494111000.0
FDX,69217000000.0
FE,10607000000.0
FELE,1247331000.0
FEYE,940584000.0
FF,204505000.0
FFBC,575075000.0
FFIC,183113000.0
FFIN,470303000.0
FFIV,2350822000.0
FFWM,244545000.0
FGBI,83570000.0
FGEN,176319000.0
FHB,611396000.0
FHI,1448268000.0
FHN,2265000000.0
FI,390358000.0
FIBK,606700000.0
FIS,12552000000.0
FISI,154977000.0
FISV,14852000000.0
FITB,6552000000.0
FIVE,1962137000.0
FIVN,434908000.0
FIX,2856659000.0
FIXX,2702000.0
FIZZ,1000394000.0
FL,7548000000.0
FLDM,138144000.0
FLGT,421712000.0
FLIC,113108000.0
FLMN,40081000.0
FLNT,310719000.0
FLO,4387991000.0
FLOW,1350600000.0
FLR,15668477000.0
FLS,3728134000.0
FLT,2388855000.0
FLWS,1489637000.0
FLXN,85552000.0
FMAO,69152000.0
FMBH,170829000.0
FMBI,621687000.0
FMC,4642100000.0
FMNB,124246000.0
FMTX,0.0
FN,1641836000.0
FNB,1120310000.0
FND,2425788000.0
FNF,10815000000.0
FNHC,431863000.0
FNKO,652537000.0
FNLC,71902000.0
FNWB,54758000.0
FOCS,1361319000.0
FOE,958954000.0
FOLD,260886000.0
FOR,931800000.0
FORM,693616000.0
FORR,448984000.0
FOSL,1613343000.0
FOX,12303000000.0
FOXA,12303000000.0
FOXF,890554000.0
FPI,50689000.0
FR,445401000.0
FRAF,52420000.0
FRBA,66366000.0
FRBK,123867000.0
FRC,3759694000.0
FREQ,36984000.0
FRG,2152504000.0
FRGI,554803000.0
FRME,433380000.0
FRO,1221187000.0
FROG,150827000.0
FRPH,17893000.0
FRPT,318790000.0
FRST,97641000.0
FRT,827432000.0
FRTA,1594506000.0
FSBW,116443000.0
FSLR,2711332000.0
FSLY,290874000.0
FSP,245848000.0
FSS,1130800000.0
FSTR,497411000.0
FTDR,1474000000.0
FTNT,2594400000.0
FTV,4634400000.0
FUL,2790269000.0
FULC,8823000.0
FULT,791176000.0
FVCB,50495000.0
FWONA,1145000000.0
FWONK,1145000000.0
FWRD,1269573000.0
G,3709377000.0
GABC,192167000.0
GAIA,66827000.0
GALT,0.0
GATO,0.0
GATX,1209200000.0
GBCI,727958000.0
GBIO,0.0
GBL,259726000.0
GBT,123803000.0
GBX,2792189000.0
GCBC,49578000.0
GCI,3405670000.0
GCO,1786530000.0
GCP,903200000.0
GD,37925000000.0
GDDY,3316700000.0
GDEN,694155000.0
GDOT,1258072000.0
GDP,91926000.0
GDYN,111283000.0
GE,79619000000.0
GEF,4515000000.0
GENC,77420000.0
GEO,2350098000.0
GERN,253000.0
GES,1876529000.0
GFF,2407522000.0
GGG,1650115000.0
GH,286730000.0
GHC,2889121000.0
GHL,296191000.0
GHM,90604000.0
GIII,2055146000.0
GILD,24689000000.0
GIS,17626600000.0
GKOS,224959000.0
GL,4737921000.0
GLDD,733601000.0
GLNG,438637000.0
GLOB,814139000.0
GLPI,1153165000.0
GLRE,487587000.0
GLT,916498000.0
GLW,11303000000.0
GLYC,10162935.0
GM,122485000000.0
